City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Maragogi,BR,2021-11-25 16:21:38,-9.0122,-35.2225,85.48,62,40,13.2
272,Hirna,ET,2021-11-25 16:21:38,9.2167,41.1,62.58,37,7,5.99
273,Oriximina,BR,2021-11-25 16:21:38,-1.7656,-55.8661,94.89,41,64,3.87
274,Uglekamensk,RU,2021-11-25 16:21:39,43.2172,133.2303,18.18,81,12,3.62
275,Kirakira,SB,2021-11-25 16:21:39,-10.4544,161.9205,79.43,81,98,6.98
276,Moree,AU,2021-11-25 16:21:39,-29.4667,149.85,69.82,94,90,10.36
277,Port Moresby,PG,2021-11-25 16:21:40,-9.4431,147.1797,76.42,94,40,4.61
278,Zhigansk,RU,2021-11-25 16:21:40,66.7697,123.3711,-8.75,85,100,10.49
279,Pisco,PE,2021-11-25 16:21:40,-13.7,-76.2167,70.02,77,0,10.36
280,Makakilo City,US,2021-11-25 16:21:40,21.3469,-158.0858,75.52,83,1,4.61
281,Te Anau,NZ,2021-11-25 16:21:41,-45.4167,167.7167,52.07,90,100,7.43
282,Souillac,MU,2021-11-25 16:21:41,-20.5167,57.5167,79.18,73,40,3.44
283,Limpapa,PH,2021-11-25 16:21:41,7.1197,121.9106,77.32,83,100,1.7
284,Bristol,US,2021-11-25 16:21:42,41.8334,-71.1662,53.83,45,1,1.01
285,Bonthe,SL,2021-11-25 16:21:42,7.5264,-12.505,86.68,63,10,12.33
286,Lompoc,US,2021-11-25 16:19:58,34.6391,-120.4579,67.08,46,1,11.5
287,Toora-Khem,RU,2021-11-25 16:21:43,52.4675,96.11,16.65,96,99,0.45
288,Tocopilla,CL,2021-11-25 16:21:43,-22.092,-70.1979,67.53,67,45,8.3
289,Ojinaga,MX,2021-11-25 16:21:43,29.5667,-104.4167,61.41,30,1,25.32
290,Ngunguru,NZ,2021-11-25 16:21:43,-35.6167,174.5,59.16,86,52,4.21
291,Orangeburg,US,2021-11-25 16:19:48,33.4918,-80.8557,59.02,38,1,3.44
